mood,id,title,vote_count,vote_average,popularity,release_date,genre_ids
新鮮だった,210577,ゴーン・ガール,19292,7.89,15.0089,2014-11-20,"[9648, 53, 18]"
新鮮だった,696506,ミッキー17,2706,6.868,15.1491,2025-03-28,"[878, 35, 12]"
新鮮だった,1726,アイアンマン,27341,7.654,14.9466,2008-09-27,"[28, 878, 12]"
新鮮だった,280,ターミネーター2,13589,8.133,14.9091,1991-08-24,"[28, 53, 878]"
新鮮だった,286217,オデッセイ,20452,7.689,14.4068,2016-02-05,"[18, 12, 878]"
新鮮だった,99861,アベンジャーズ／エイジ・オブ・ウルトロン,23738,7.271,19.2807,2015-06-23,"[28, 12, 878]"
新鮮だった,8688,スネーク・アイズ,1420,6.186,14.631,1999-02-27,"[53, 80, 9648]"
新鮮だった,1340117,Marlee Matlin: Not Alone Anymore,1,8.0,14.1523,2025-06-20,[99]
新鮮だった,1979,ファンタスティック・フォー：銀河の危機,8147,5.623,14.6087,2007-09-21,"[878, 12, 28]"
新鮮だった,588228,トゥモロー･ウォー,3824,7.5,14.9077,2021-07-02,"[28, 878, 12]"
新鮮だった,593691,HOMECOMING: ビヨンセ・ライブ作品,340,8.1,14.3953,2019-04-17,"[99, 10402]"
新鮮だった,1188423,Site,18,6.583,16.7226,2025-08-08,"[878, 53, 27]"
新鮮だった,352491,Hollow in the Land,60,5.4,14.2065,2017-12-08,"[9648, 18, 53]"
新鮮だった,686976,A Song Called Hate,4,9.0,14.3907,2021-06-17,[99]
新鮮だった,68721,アイアンマン3,22833,6.929,14.707,2013-04-26,"[28, 12, 878]"
